Country.Name,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,Continent,Built_up_Land,Carbon,Cropland,Fishing,Forest_Products,Grazing_Land,BC2015,EF_Rank,Total_EF,EF_rank
Armenia,1.5943202,1.888293372,2.22606902,1.963834899,1.88948125,2.09951904,2.1869477,2.057958369,2.061019101,1.994521271,Asia,0.052911934,0.867534933,0.607197797,0.009012935,0.22270942,0.236829404,0.824460618,Low,1.996196422,Medium & Low
Afghanistan,0.631038278,0.674503853,0.65656496,0.769933011,0.787598617,0.767798005,0.779172987,0.758125739,0.755985423,0.722090945,Asia,0.039021656,0.127728616,0.30103075,0.00019927,0.07435014,0.18795075,0.443252309,Low,0.730281182,Medium & Low
Albania,2.019640524,2.15991001,2.145560188,2.192524217,2.112900878,2.340390587,2.2010737,2.1472313,2.038364942,2.081299137,Europe,0.03507012,1.040769027,0.618349371,0.03067465,0.167414298,0.251612082,1.030768009,Low,2.143889548,Medium & Low
Angola,0.734566927,0.778232143,0.960108983,1.14417858,0.9345552,1.002013111,1.055118965,1.356577281,1.784510573,1.160288302,Africa,0.044190899,0.373010214,0.352893309,0.095828275,0.103930592,0.121161718,2.003578638,Low,1.091015007,Medium & Low
Argentina,3.145161132,3.289540954,3.606413847,2.884407636,3.251171933,3.333579843,3.287436777,3.606784469,3.752542869,3.67631086,Latin America and the Caribbean,0.100257327,1.256617795,0.721414712,0.111833519,0.246702153,0.946509525,6.856382657,Medium,3.383335032,Medium & Low
Australia,9.190882937,8.651156971,8.970472499,8.443093311,8.317668463,8.802503658,8.010538737,7.394940471,6.750492442,6.399643872,Oceania,0.058005989,5.361152698,0.797397471,0.124153139,1.006232175,0.746197864,12.41306479,Very High,8.093139336,Very High
Austria,6.597975505,6.546327767,6.579942347,5.949645492,6.301204395,6.547258657,6.06222371,6.134596155,6.022053676,5.967516714,Europe,0.139170987,4.15617124,0.851827954,0.059641174,0.812864641,0.251198446,2.83651945,High,6.270874442,High
Bahamas,4.474337738,4.054334178,3.391717666,4.006145565,3.997153815,3.595060588,4.745291715,5.124093886,4.101011853,4.11445622,Latin America and the Caribbean,0.037529731,2.377427645,0.714646539,0.137596917,0.178937699,0.714221792,9.27179979,High,4.160360322,High
Bahrain,10.45617556,10.97023453,11.83562668,10.71771312,10.92054732,9.831448494,7.879731832,6.245810684,8.96084087,8.733932507,Asia,0.081316533,8.442963797,0.477136488,0.056253545,0.211421439,0.386114359,0.53672507,Very High,9.65520616,Very High
Barbados,4.705061452,4.376933245,4.456082484,4.446707515,4.766195179,4.182002478,3.727474051,3.479349395,3.631466689,3.856722623,North America,0.039412363,2.799413788,0.600250567,0.254196783,0.174808109,0.294717902,0.168393431,High,4.162799511,High
Bangladesh,0.62490106,0.655947862,0.661135877,0.696183897,0.737259489,0.767516053,0.742998798,0.768194752,0.806232485,0.877376675,Asia,0.07081015,0.236367591,0.322486429,0.01938873,0.080259343,0.004462451,0.405566354,Low,0.733774695,Medium & Low
